Utterance,Intent
"I'm out of my account, can you help me?",account_information
Can you help me with my account?,account_information
Can you help me get out of my account?,account_information
"I'm locked out of my account, can you help me?",account_information
"I'm locked out of my account, can you help?",account_information
Can you help me get back into my account?,account_information
"I'm out of my mind, can you help me?",account_information
"I am locked out of my account, can you help?",account_information
"I forgot my password, can you help?",account_information
Can you help me with my login information?,account_information
Can you help me with my password?,account_information
"I forgot my password, can you help me?",account_information
Can you help me remember my login information?,account_information
"I forgot my login information, can you help?",account_information
"I forgot my login information, can you help?",account_information
What is my password?,account_information
What is my email address?,account_information
What's my username?,account_information
I don't know what my name is.,account_information
What is my first name?,account_information
What is my username?,account_information
What is my name?,account_information
What is my username?,account_information
How to find a password?,account_information
How to find a name?,account_information
How to find a nickname?,account_information
How do I find the username?,account_information
How to find the person's name?,account_information
How to find a username?,account_information
How to find a person's name?,account_information
How to find username?,account_information
What is my password for?,account_information
What is my password?,account_information
What's my password for?,account_information
What's my password?,account_information
I don't know what my password is.,account_information
What is my password?,account_information
Can you change my password?,account_information
Can you reset my password?,account_information
Are you able to reset my password?,account_information
Can you put my password back?,account_information
Do you have the ability to reset my password?,account_information
Is there a way to reset my password?,account_information
Is it possible to reset my password?,account_information
Can you reset my password?,account_information
Please book a tour for C029 at E064.,book_tour
Please book a <keyword> tour for <number_of_people> at <time>,book_tour
"Please, book a tour for C029 at E064.",book_tour
There is a tour at <time>.,book_tour
There is a tour for C029 at <time>.,book_tour
There is a tour for C029 at E064.,book_tour
Please book a <keyword> tour for <number_of_people> at the <time>,book_tour
"Please, book a <keyword> tour for <number_of_people> at <time>",book_tour
I need <keyword> cards for <date>,book_tour
I need tickets for <date>.,book_tour
I need <keyword> tickets.,book_tour
I need <keyword> tickets for <date>,book_tour
I need tickets for D05.,book_tour
I need <keyword> tickets.,book_tour
I need tickets for that event.,book_tour
I need <keyword> tickets for <date>,book_tour
I am interested in the reservation of the <keyword>,book_tour
I'd like to book the <keyword>.,book_tour
I am interested in booking the <keyword>,book_tour
I would like to book the <keyword>.,book_tour
I would love to book the <keyword>.,book_tour
I'm interested in booking the <keyword>.,book_tour
I would like to book the <keyword>.,book_tour
I am interested in booking the <keyword>,book_tour
I would like to book <keyword>.,book_tour
I liked to book <keyword> for <date>,book_tour
I want to book <keyword> for <date>.,book_tour
I'd like to book <keyword> for <date>.,book_tour
I want to book <keyword> for <date>.,book_tour
I would like to book <keyword>.,book_tour
I would like to reserve <keyword> for <date>,book_tour
I would like to book <keyword> for <date>,book_tour
Is there a next time slot for <keyword>?,book_tour
Is there a next time slot for <keyword>?,book_tour
When is the next time slot available?,book_tour
When is the next time craneau available for <keyword>?,book_tour
When is the next available time slot for <keyword>?,book_tour
When is the next time slot for <keyword>?,book_tour
When will there be a time slot for <keyword>?,book_tour
When is next available time slot for <keyword>?,book_tour
I would like a tour on <keyword>.,book_tour
I would like a tour on <keyword>.,book_tour
I want to go on a tour.,book_tour
I want a tour on <keyword>,book_tour
I would like to take a tour on <keyword>.,book_tour
I would like to take a tour on <keyword>.,book_tour
I want a visit to <keyword>,book_tour
I want a tour on <keyword>,book_tour
The tour was the top rated.,book_tour
The tour for <keyword> was the top rated.,book_tour
The tour is top rated.,book_tour
The tour was top rated.,book_tour
<keyword> tour is the top rated tour.,book_tour
Best rated visit for <keyword>,book_tour
Top rated tour for <keyword>,book_tour
Top rated tour for <keyword>,book_tour
The recommended tour for <keyword> is the top one.,book_tour
Top recommended tour for <keyword>,book_tour
There is a top recommended tour for <keyword>.,book_tour
The best tour for <keyword>.,book_tour
Recommended visit for <keyword>,book_tour
<keyword> is a top recommended tour.,book_tour
<keyword> is a top recommended tour.,book_tour
Top recommended tour for <keyword>,book_tour
Tell me about the funny facts about <location>.,"describe_location, recommend_poi"
Tell me about the funny facts.,"describe_location, recommend_poi"
Tell me some funny facts about <location>.,"describe_location, recommend_poi"
Tell me funny facts about <location>.,"describe_location, recommend_poi"
Tell me about the facts.,"describe_location, recommend_poi"
Tell me the funniest facts about <location>.,"describe_location, recommend_poi"
Tell me some funny facts.,"describe_location, recommend_poi"
Tell me funny facts about <location>.,"describe_location, recommend_poi"
Show me the best attractions.,"describe_location, recommend_poi"
Show me the main attractions <location>.,"describe_location, recommend_poi"
Show me some of the top attractions.,"describe_location, recommend_poi"
Show me the top attractions.,"describe_location, recommend_poi"
Show me the top attractions <location>.,"describe_location, recommend_poi"
Let me know what the top attractions are.,"describe_location, recommend_poi"
I want to show you the top attractions.,"describe_location, recommend_poi"
Show me top attractions <location>.,"describe_location, recommend_poi"
What are some things to consider in this area?,"describe_location, recommend_poi"
What are some things to think about in this area?,"describe_location, recommend_poi"
What should be considered in this area?,"describe_location, recommend_poi"
There are things to think about in this area.,"describe_location, recommend_poi"
What are some things to consider?,"describe_location, recommend_poi"
There are things to consider in this area.,"describe_location, recommend_poi"
What are things to consider in this area?,"describe_location, recommend_poi"
Is this area safe?,"describe_location, recommend_poi"
Is this a safe area?,"describe_location, recommend_poi"
Is this place safe?,"describe_location, recommend_poi"
Is this safe?,"describe_location, recommend_poi"
Is the area safe?,"describe_location, recommend_poi"
Is this area safe?,"describe_location, recommend_poi"
What are the top things to do?,"describe_location, recommend_poi"
What are the things to do?,"describe_location, recommend_poi"
What are the things to do in <location>?,"describe_location, recommend_poi"
What are the best things to do in <location>?,"describe_location, recommend_poi"
What are the top things to do in the area?,"describe_location, recommend_poi"
What are the best things to do?,"describe_location, recommend_poi"
What are the top things to do in <location>?,"describe_location, recommend_poi"
What is the fastest way to get to <location>?,generic_request
Which is the fastest way to get to <location>?,generic_request
How fast is it to get to <location>?,generic_request
How fast can you get to <location>?,generic_request
What is the best way to get to <location>?,generic_request
What is the fastest way to get there?,generic_request
What is the fastest way to get to <location>?,generic_request
Are there any peage roads on the road to <location>?,generic_request
Is there a toll road on the way to <location>?,generic_request
Is there any toll roads on the way to <location>?,generic_request
Can you tell me if there are any toll roads on the way to <location>?,generic_request
Are there any toll roads on the way to <location>?,generic_request
Are there toll roads on the way to <location>?,generic_request
There are toll roads on the way to <location>.,generic_request
Are there any toll roads on the way to <location>?,generic_request
Is there any toll bridges on the way to <location>?,generic_request
Can you tell me if there are any toll bridges on the way to <location>?,generic_request
Is there a toll bridge on the way to <location>?,generic_request
There are toll bridges on the way to <location>.,generic_request
Are there toll breaks on the way to <location>?,generic_request
Are there any peage bridges on the road to <location>?,generic_request
Do you know if there are any toll bridges on the way to <location>?,generic_request
Are there any toll bridges on the way to <location>?,generic_request
Is it possible to find a parking spot near <location>?,generic_request
Are there parking spaces near <location>?,generic_request
Is there a parking lot near <location>?,generic_request
Is it possible to find parking near <location>?,generic_request
Is there a place to park near <location>?,generic_request
Is there any parking near <location>?,generic_request
Is there parking near <location>?,generic_request
It's hey!,needs_assistance
"Hey, I'm okay!",needs_assistance
It's Hey!,needs_assistance
Hey!,needs_assistance
I'm Hey!,needs_assistance
Hey!,needs_assistance
Is it possible to talk to someone?,needs_assistance
Can I speak to someone?,needs_assistance
Can I talk to someone?,needs_assistance
Can I have a conversation with someone?,needs_assistance
I don't know if I can talk to someone.,needs_assistance
Can I talk to someone?,needs_assistance
I need assistance.,needs_assistance
I need some assistance.,needs_assistance
I need someone to help me.,needs_assistance
I need some help.,needs_assistance
I need help.,needs_assistance
I need some assistance,needs_assistance
I would like to speak to someone.,needs_assistance
I'd like to talk to someone.,needs_assistance
I want to talk to someone.,needs_assistance
I liked talking to a person.,needs_assistance
I would like to speak with someone.,needs_assistance
I would like to talk to someone.,needs_assistance
I would like to talk to a person.,needs_assistance
What are the coordinates?,needs_assistance
The contact info is what it is.,needs_assistance
The contact info is important.,needs_assistance
What is the name of the person?,needs_assistance
What is the contact information?,needs_assistance
What is the phone number?,needs_assistance
What is the contact info?,needs_assistance
We are looking for a tour <number_of_people> <location> <time>.,recommend_activity
We are looking for a tour that1-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-6556,recommend_activity
We are looking for a tour.,recommend_activity
We are searching for a tour.,recommend_activity
We are looking for a visit <number_of_people> <location> <time>.,recommend_activity
We are looking for a tour that1-65561-65561-65561-65561-65561-65561-65561-65561-65561-6556 is1-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-6556,recommend_activity
We're looking for a tour.,recommend_activity
We are looking for a tour <number_of_people> <location> <time>.,recommend_activity
I want to book <keyword>.,recommend_activity
I would like to book <keyword>.,recommend_activity
I want to reserve <keyword>,recommend_activity
I want to book <keyword>.,recommend_activity
I'd like to book <keyword>.,recommend_activity
I would like to book <keyword>.,recommend_activity
I liked to book <keyword>,recommend_activity
I want to book <keyword>,recommend_activity
I want to book it.,recommend_activity
I'd like to book <restaurant>.,recommend_activity
I liked book <restaurant>,recommend_activity
I would love to book <restaurant>.,recommend_activity
I want to book <restaurant>.,recommend_activity
I want to reserve <restaurant>,recommend_activity
I would like to book <restaurant>.,recommend_activity
I want to book <restaurant>,recommend_activity
I am looking for a good <keyword> with budget around <budget> for <time>.,recommend_activity
I'm looking for the good <keyword> in <location> with budget around <budget> for <time>.,recommend_activity
I am looking for a good <keyword> with a budget around <budget>.,recommend_activity
I'm looking for the good <keyword> in <location> with a budget around <budget> for <time> .,recommend_activity
I am looking for a good <keyword> with a budget of around <budget>.,recommend_activity
I am looking for a good <keyword> with budget around <budget>.,recommend_activity
I am looking for a good <keyword> with a budget around <budget>.,recommend_activity
I’m looking for the good <keyword> in <location> with budget around <budget> for <time>.,recommend_activity
There is a <keyword> that is available on <date>.,recommend_activity
Find me a <keyword> available on <date> in <location>,recommend_activity
I can find it on <date> and <location>.,recommend_activity
It's possible to find <keyword> on <date>.,recommend_activity
It's possible to find <keyword> that's available on <date>.,recommend_activity
There is a <keyword> that is available on <date>.,recommend_activity
Find me something <keyword> available on <date> in <location>,recommend_activity
Find me some <keyword> that's available  on <date> in <location>,recommend_activity
I can find <keyword> that's under <budget> and available on <date>.,recommend_activity
I can find <keyword> under <budget> and on <date>.,recommend_activity
You can find <keyword> that's under <budget> and available on <date>.,recommend_activity
I can find <keyword> that's under <budget> and available on <date>.,recommend_activity
Find me something <keyword> that's under <budget> and available on <date> in <location>.,recommend_activity
Find me a <keyword> under <budget> and available on <date> in <location>,recommend_activity
I can find <keyword> under <budget> and it's available on <date>.,recommend_activity
Find me some <keyword> that's under <budget> and available  on <date> in <location>,recommend_activity
It's under <budget> and available on <date>.,recommend_activity
Show me some <keyword> that is under <budget> and available on <date> in <location>,recommend_activity
I want to know if there's a <keyword> that's under <budget> and available on <date>.,recommend_activity
Show me some <keyword> that's under <budget> and can be found on <date> in <location>.,recommend_activity
I want to know if there is a <keyword> that is under <budget> and available on <date>.,recommend_activity
I want to know if there's a <keyword> that's available on <date> and <budget>.,recommend_activity
I want to know if there's a <keyword> that's available on <date> and <budget>.,recommend_activity
Show me some <keyword> that's under <budget> and available  on <date> in <location>,recommend_activity
There are things to do under <budget>.,recommend_activity
